id,label,bootcamp,focusedSubject,attempted,accuracy,sessions,activeDays,latestDaysAgo,status,score,band,confidence,performance,consistency,coverage
"insufficient-99","99 attempts at 90% accuracy","act","","99","90","5","5","0","insufficient_data","","","0.99","","",""
"minimum-balanced","Minimum evidence, balanced, one fresh session","act","","100","90","1","1","0","estimated","83.3","Almost","0.65","92","54.9","100"
"minimum-narrow","Minimum evidence, one subject/module/test","act","","100","90","1","1","0","estimated","61.5","Building","0.65","92","54.9","27.6"
"balanced-200","Balanced 90%, 200 questions across 10 days","act","","200","90","10","10","0","estimated","88.7","Ready","0.75","92","73","100"
"balanced-300","Balanced 90%, 300 questions across 15 days","act","","300","90","15","15","0","estimated","91.8","Ready","0.85","92","83.2","100"
"balanced-500","Balanced 90%, 500 questions across 24 days","act","","500","90","24","24","0","estimated","96.8","Ready","1","92","100","100"
"accuracy-70-max","Balanced 70%, maximum consistency and coverage","act","","500","70","24","24","0","estimated","90.4","Ready","1","76","100","100"
"accuracy-80-max","Balanced 80%, maximum consistency and coverage","act","","500","80","24","24","0","estimated","93.6","Ready","1","84","100","100"
"accuracy-85-max","Balanced 85%, maximum consistency and coverage","act","","500","85","24","24","0","estimated","95.2","Ready","1","88","100","100"
"fresh-cram","Balanced 90% crammed into one day","act","","500","90","1","1","0","estimated","86.7","Ready","1","92","66.5","100"
"stale-60","Balanced 90%, latest practice 60 days ago","act","","500","90","24","24","60","estimated","90.8","Ready","1","92","80","100"
"one-subject-broad","90% practice confined to Mathematics","act","","500","90","24","24","0","estimated","85.2","Ready","1","92","100","61.2"
"all-subjects-narrow","90% across subjects but one module/test each","act","","500","90","24","24","0","estimated","82.2","Almost","1","92","100","51.2"
"cross-subsidized-coverage","One subject's extra breadth offsets narrow practice elsewhere","act","","300","90","15","15","0","estimated","91.8","Ready","0.85","92","83.2","100"
"fast-90","90% accuracy at 10 seconds per question","act","","300","90","15","15","0","estimated","91.8","Ready","0.85","92","83.2","100"
"slow-90","90% accuracy at 120 seconds against 60 allocated","act","","300","90","15","15","0","estimated","87.8","Ready","0.85","82","83.2","100"
"timer-generous","Same slow work with a generous timer allocation","act","","300","90","15","15","0","estimated","91.8","Ready","0.85","92","83.2","100"
"sat-balanced","SAT balanced 90%, 300 questions across 15 days","sat","","300","90","15","15","0","estimated","91.8","Ready","0.85","92","83.2","100"
"focused-math-only-days","Focused Math DIRI with Math activity only","act","Mathematics","40","90","1","1","0","estimated","81.3","Almost","0.59","92","48.3","100"
"focused-math-plus-other-days","Same Math evidence plus 23 unrelated Science days","act","Mathematics","40","90","1","24","0","estimated","90.9","Ready","0.59","92","80.4","100"
